,time,cpu_avg,power_all,power_cpu,power_gpu,%CPU,%mem
126,18:17:06,0.01005,3.29985,3.29985,0.0,7.0,7.0
127,18:17:07,0.015,3.25657,3.25657,0.0,7.0,7.0
128,18:17:08,0.0401,3.10805,3.10805,0.0,7.0,7.0
129,18:17:09,0.01253,3.27748,3.27748,0.0,7.0,7.0
130,18:17:10,0.01253,3.27748,3.27748,0.0,7.0,7.0
132,18:17:12,0.01504,3.25626,3.25626,0.0,7.0,7.0
133,18:17:13,0.03008,3.15484,3.15484,0.0,7.0,7.0
134,18:17:14,0.01754,3.23637,3.23637,0.0,7.0,7.0
135,18:17:15,0.02,3.21811,3.21811,0.0,7.0,7.0
136,18:17:16,0.00748,3.32452,3.32452,0.0,7.0,7.0
137,18:17:17,0.01008,3.29962,3.29962,0.0,7.0,7.0
138,18:17:18,0.01746,3.23704,3.23704,0.0,7.0,7.0
139,18:17:19,0.02506,3.18408,3.18408,0.0,7.0,7.0
140,18:17:20,0.03509,3.12962,3.12962,0.0,7.0,7.0
141,18:17:21,0.02757,3.16894,3.16894,0.0,7.0,7.0
142,18:17:22,0.01496,3.25688,3.25688,0.0,7.0,7.0
143,18:17:23,0.01759,3.23603,3.23603,0.0,7.0,7.0
144,18:17:24,0.01256,3.27721,3.27721,0.0,7.0,7.0
145,18:17:25,0.01504,3.25626,3.25626,0.0,7.0,7.0
146,18:17:26,0.03258,3.14175,3.14175,0.0,7.0,7.0
147,18:17:27,0.01496,3.25688,3.25688,0.0,7.0,7.0
148,18:17:28,0.015,3.25657,3.25657,0.0,7.0,7.0
150,18:17:30,0.01746,3.23704,3.23704,0.0,7.0,7.0
151,18:17:31,0.0275,3.16934,3.16934,0.0,7.0,7.0
152,18:17:32,0.01759,3.23603,3.23603,0.0,7.0,7.0
153,18:17:33,0.01253,3.27748,3.27748,0.0,7.0,7.0
154,18:17:34,0.01,3.30032,3.30032,0.0,7.0,7.0
155,18:17:35,0.01005,3.29985,3.29985,0.0,7.0,7.0
156,18:17:36,0.01253,3.27748,3.27748,0.0,7.0,7.0
157,18:17:37,0.02506,3.18408,3.18408,0.0,7.0,7.0
158,18:17:38,0.03509,3.12962,3.12962,0.0,7.0,7.0
159,18:17:39,0.01253,3.27748,3.27748,0.0,7.0,7.0
160,18:17:40,0.0175,3.23671,3.23671,0.0,7.0,7.0
161,18:17:41,0.01754,3.23637,3.23637,0.0,7.0,7.0
162,18:17:42,0.01253,3.27748,3.27748,0.0,7.0,7.0
163,18:17:43,0.0275,3.16934,3.16934,0.0,7.0,7.0
164,18:17:44,0.03759,3.1184,3.1184,0.0,7.0,7.0
165,18:17:45,0.01253,3.27748,3.27748,0.0,7.0,7.0
166,18:17:46,0.015,3.25657,3.25657,0.0,7.0,7.0
168,18:17:48,0.015,3.25657,3.25657,0.0,7.0,7.0
169,18:17:49,0.03008,3.15484,3.15484,0.0,7.0,7.0
170,18:17:50,0.01754,3.23637,3.23637,0.0,7.0,7.0
171,18:17:51,0.01253,3.27748,3.27748,0.0,9.0,7.0
172,18:17:52,0.00501,3.34972,3.34972,0.0,7.0,7.0
173,18:17:53,0.01504,3.25626,3.25626,0.0,7.0,7.0
174,18:17:54,0.01253,3.27748,3.27748,0.0,7.0,7.0
175,18:17:55,0.0325,3.14216,3.14216,0.0,7.0,7.0
176,18:17:56,0.01754,3.23637,3.23637,0.0,7.0,7.0
177,18:17:57,0.01253,3.27748,3.27748,0.0,7.0,7.0
178,18:17:58,0.015,3.25657,3.25657,0.0,7.0,7.0
179,18:17:59,0.01759,3.23603,3.23603,0.0,7.0,7.0
180,18:18:00,0.03008,3.15484,3.15484,0.0,7.0,7.0
181,18:18:01,0.01508,3.25595,3.25595,0.0,7.0,7.0
182,18:18:02,0.01511,3.25564,3.25564,0.0,7.0,7.0
183,18:18:03,0.01985,3.21918,3.21918,0.0,7.0,7.0
184,18:18:04,0.01253,3.27748,3.27748,0.0,7.0,7.0
186,18:18:06,0.0275,3.16934,3.16934,0.0,7.0,7.0
187,18:18:07,0.03258,3.14175,3.14175,0.0,7.0,7.0
188,18:18:08,0.02,3.21811,3.21811,0.0,7.0,7.0
189,18:18:09,0.0075,3.32433,3.32433,0.0,7.0,7.0
190,18:18:10,0.00251,3.3768,3.3768,0.0,7.0,7.0
191,18:18:11,0.02,3.21811,3.21811,0.0,7.0,7.0
192,18:18:12,0.015,3.25657,3.25657,0.0,7.0,7.0
193,18:18:13,0.02513,3.18369,3.18369,0.0,7.0,7.0
194,18:18:14,0.03008,3.15484,3.15484,0.0,7.0,7.0
195,18:18:15,0.01754,3.23637,3.23637,0.0,7.0,7.0
196,18:18:16,0.01253,3.27748,3.27748,0.0,7.0,7.0
197,18:18:17,0.01759,3.23603,3.23603,0.0,7.0,7.0
198,18:18:18,0.01256,3.27721,3.27721,0.0,7.0,7.0
199,18:18:19,0.0275,3.16934,3.16934,0.0,7.0,7.0
200,18:18:20,0.03759,3.1184,3.1184,0.0,7.0,7.0
202,18:18:22,0.01253,3.27748,3.27748,0.0,7.0,7.0
203,18:18:23,0.01759,3.23603,3.23603,0.0,7.0,7.0
204,18:18:24,0.015,3.25657,3.25657,0.0,7.0,7.0
205,18:18:25,0.01741,3.23738,3.23738,0.0,7.0,7.0
206,18:18:26,0.03008,3.15484,3.15484,0.0,7.0,7.0
207,18:18:27,0.0,3.40568,3.40568,0.0,7.0,7.0
208,18:18:28,0.03008,3.15484,3.15484,0.0,7.0,7.0
209,18:18:29,0.01759,3.23603,3.23603,0.0,7.0,7.0
210,18:18:30,0.01496,3.25688,3.25688,0.0,7.0,7.0
211,18:18:31,0.01253,3.27748,3.27748,0.0,7.0,7.0
212,18:18:32,0.0273,3.17054,3.17054,0.0,7.0,7.0
213,18:18:33,0.02506,3.18408,3.18408,0.0,7.0,7.0
214,18:18:34,0.01256,3.27721,3.27721,0.0,7.0,7.0
215,18:18:35,0.01754,3.23637,3.23637,0.0,7.0,7.0
216,18:18:36,0.015,3.25657,3.25657,0.0,7.0,7.0
217,18:18:37,0.0125,3.27776,3.27776,0.0,7.0,7.0
218,18:18:38,0.03008,3.15484,3.15484,0.0,7.0,7.0
220,18:18:40,0.01253,3.27748,3.27748,0.0,7.0,7.0
221,18:18:41,0.02005,3.21775,3.21775,0.0,7.0,7.0
222,18:18:42,0.0125,3.27776,3.27776,0.0,7.0,7.0
223,18:18:43,0.015,3.25657,3.25657,0.0,7.0,7.0
224,18:18:44,0.02256,3.20034,3.20034,0.0,7.0,7.0
225,18:18:45,0.01247,3.27803,3.27803,0.0,7.0,7.0
226,18:18:46,0.01253,3.27748,3.27748,0.0,7.0,7.0
227,18:18:47,0.02005,3.21775,3.21775,0.0,7.0,7.0
228,18:18:48,0.015,3.25657,3.25657,0.0,7.0,7.0
229,18:18:49,0.01253,3.27748,3.27748,0.0,7.0,7.0
230,18:18:50,0.0402,3.10765,3.10765,0.0,7.0,7.0
231,18:18:51,0.01253,3.27748,3.27748,0.0,7.0,7.0
232,18:18:52,0.01504,3.25626,3.25626,0.0,7.0,7.0
233,18:18:53,0.0225,3.20072,3.20072,0.0,7.0,7.0
234,18:18:54,0.01003,3.30009,3.30009,0.0,7.0,7.0
235,18:18:55,0.02764,3.16853,3.16853,0.0,7.0,7.0
236,18:18:56,0.02,3.21811,3.21811,0.0,7.0,7.0
238,18:18:58,0.015,3.25657,3.25657,0.0,7.0,7.0
239,18:18:59,0.01754,3.23637,3.23637,0.0,7.0,7.0
240,18:19:00,0.03008,3.15484,3.15484,0.0,7.0,7.0
241,18:19:01,0.0175,3.23671,3.23671,0.0,7.0,7.0
242,18:19:02,0.02005,3.21775,3.21775,0.0,7.0,7.0
243,18:19:03,0.00503,3.34959,3.34959,0.0,7.0,7.0
244,18:19:04,0.0075,3.32433,3.32433,0.0,7.0,7.0
245,18:19:05,0.02005,3.21775,3.21775,0.0,7.0,7.0
246,18:19:06,0.02256,3.20034,3.20034,0.0,7.0,7.0
247,18:19:07,0.035,3.13003,3.13003,0.0,7.0,7.0
248,18:19:08,0.01754,3.23637,3.23637,0.0,7.0,7.0
249,18:19:09,0.0125,3.27776,3.27776,0.0,7.0,7.0
250,18:19:10,0.01253,3.27748,3.27748,0.0,7.0,7.0
251,18:19:11,0.02,3.21811,3.21811,0.0,7.0,7.0
252,18:19:12,0.03015,3.15443,3.15443,0.0,7.0,7.0
253,18:19:13,0.01253,3.27748,3.27748,0.0,7.0,7.0
254,18:19:14,0.01741,3.23738,3.23738,0.0,7.0,7.0
256,18:19:16,0.0125,3.27776,3.27776,0.0,7.0,7.0
257,18:19:17,0.02764,3.16853,3.16853,0.0,7.0,7.0
